seed,family,policy,layer,collision,bufferViolation,minGap,stopTime,stopped,brakeTime,finalSpeed
27273,dust,no-speed-cap,extended-model,false,false,7.775240017777833,14.600000000000072,true,10.350000000000012,0
27273,dust,no-brake-bound,nominal-model,false,false,8.150870802078828,24.850000000000218,true,22.550000000000185,0
27273,dust,no-brake-bound,extended-model,false,false,8.80387061370891,24.750000000000217,true,22.600000000000186,0
27274,dust,baseline,nominal-model,false,false,8.054436536198352,11.450000000000028,true,7.049999999999983,0
27274,dust,baseline,extended-model,false,false,6.311276467585799,11.400000000000027,true,7.349999999999982,0
27274,dust,guarded,nominal-model,false,false,16.074295048435943,16.5500000000001,true,14.350000000000069,0
27274,dust,guarded,extended-model,false,false,16.551838934843147,16.400000000000098,true,14.350000000000069,0
27274,dust,no-speed-cap,nominal-model,false,false,38.73326651739461,8.84999999999999,true,4.549999999999992,0
27274,dust,no-speed-cap,extended-model,false,false,6.311276467585799,11.400000000000027,true,7.349999999999982,0
27274,dust,no-brake-bound,nominal-model,false,false,8.274295101199016,17.85000000000012,true,15.650000000000087,0
27274,dust,no-brake-bound,extended-model,false,false,8.75183898136794,17.700000000000117,true,15.650000000000087,0
27275,dust,baseline,nominal-model,false,false,8.350516942013314,14.100000000000065,true,9.5,0
27275,dust,baseline,extended-model,true,true,-0.24712338132684408,13.05000000000005,false,10.750000000000018,6.235696190102106
27275,dust,guarded,nominal-model,false,false,17.35849752217615,22.05000000000018,true,19.750000000000146,0
27275,dust,guarded,extended-model,false,false,16.931627186271157,22.15000000000018,true,19.750000000000146,0
27275,dust,no-speed-cap,nominal-model,false,false,44.360252000795185,11.100000000000023,true,6.499999999999985,0
27275,dust,no-speed-cap,extended-model,true,true,-0.24712338132684408,13.05000000000005,false,10.750000000000018,6.235696190102106
27275,dust,no-brake-bound,nominal-model,false,false,8.058497522312678,23.6000000000002,true,21.300000000000168,0
27275,dust,no-brake-bound,extended-model,false,false,7.93162718642202,23.6500000000002,true,21.250000000000167,0
27276,dust,baseline,nominal-model,false,false,8.376077283025325,12.550000000000043,true,8.249999999999982,0
27276,dust,baseline,extended-model,false,false,8.169067641524748,12.600000000000044,true,8.249999999999982,0
27276,dust,guarded,nominal-model,false,false,15.623182335329489,19.600000000000144,true,17.450000000000113,0
27276,dust,guarded,extended-model,false,false,15.553271283161052,19.650000000000144,true,17.450000000000113,0
27276,dust,no-speed-cap,nominal-model,false,false,37.78528635660871,10.100000000000009,true,5.799999999999987,0
27276,dust,no-speed-cap,extended-model,false,false,9.969163773329967,12.450000000000042,true,8.09999999999998,0
27276,dust,no-brake-bound,nominal-model,false,false,8.123182337702929,20.85000000000016,true,18.70000000000013,0
27276,dust,no-brake-bound,extended-model,false,false,8.053271285581673,20.900000000000162,true,18.70000000000013,0
27277,dust,baseline,nominal-model,false,false,8.299838494351036,10.000000000000007,true,5.449999999999989,0
27277,dust,baseline,extended-model,true,true,-0.07533057389042597,8.449999999999985,false,7.94999999999998,10.666236508489972
27277,dust,guarded,nominal-model,false,false,17.096110624392054,13.900000000000063,true,11.60000000000003,0
27277,dust,guarded,extended-model,false,false,11.833306795891644,14.750000000000075,true,12.500000000000043,0
27277,dust,no-speed-cap,nominal-model,false,false,44.32585314416741,6.999999999999983,true,2.4499999999999993,0
27277,dust,no-speed-cap,extended-model,true,true,-0.07533057389042597,8.449999999999985,false,7.94999999999998,10.666236508489972
27277,dust,no-brake-bound,nominal-model,false,false,8.096119427300948,15.400000000000084,true,13.100000000000051,0
27277,dust,no-brake-bound,extended-model,false,false,8.233308526800045,15.350000000000083,true,13.100000000000051,0
27278,dust,baseline,nominal-model,false,false,8.19330913174332,15.900000000000091,true,11.55000000000003,0
27278,dust,baseline,extended-model,false,false,9.543082294723376,15.650000000000087,true,11.55000000000003,0
27278,dust,guarded,nominal-model,false,false,15.641262526063826,26.200000000000237,true,24.000000000000206,0
27278,dust,guarded,extended-model,false,false,15.890734676642523,26.100000000000236,true,24.050000000000207,0
27278,dust,no-speed-cap,nominal-model,false,false,38.193341613411405,13.400000000000055,true,9.049999999999994,0
27278,dust,no-speed-cap,extended-model,false,false,9.543082294723376,15.650000000000087,true,11.55000000000003,0
27278,dust,no-brake-bound,nominal-model,false,false,8.141262526065134,27.450000000000255,true,25.250000000000224,0
27278,dust,no-brake-bound,extended-model,false,false,8.39073467664366,27.350000000000254,true,25.300000000000225,0
27279,dust,baseline,nominal-model,false,false,8.178000232884813,16.800000000000104,true,12.150000000000038,0
27279,dust,baseline,extended-model,false,false,5.017487453386252,17.25000000000011,true,12.250000000000039,0
27279,dust,guarded,nominal-model,false,false,17.600490957302497,27.15000000000025,true,24.800000000000217,0
27279,dust,guarded,extended-model,false,false,17.342222675897858,27.250000000000252,true,24.750000000000217,0
27279,dust,no-speed-cap,nominal-model,false,false,46.57939212473519,13.600000000000058,true,8.949999999999992,0
27279,dust,no-speed-cap,extended-model,false,false,5.017487453386252,17.25000000000011,true,12.250000000000039,0
27279,dust,no-brake-bound,nominal-model,false,false,8.000490957302304,28.750000000000274,true,26.40000000000024,0
